NAME,S1901_C01_001E,S1901_C01_013E
ZCTA5 98074,9567,225217
ZCTA5 92603,7005,225190
ZCTA5 01742,6464,224988
ZCTA5 94402,9872,224827
ZCTA5 07039,10280,224785
ZCTA5 06807,2611,224559
ZCTA5 66224,4643,224360
ZCTA5 10501,424,224137
ZCTA5 95595,69,223777
ZCTA5 13692,63,223530
ZCTA5 60603,644,223495
ZCTA5 07452,3593,223283
ZCTA5 02109,1892,223066
ZCTA5 06877,9250,223052
ZCTA5 12448,189,222988
ZCTA5 22102,11868,222868
ZCTA5 06793,523,222470
ZCTA5 35649,23,222239
ZCTA5 02543,378,221781
ZCTA5 94618,7136,221698
ZCTA5 98077,4856,221698
ZCTA5 33156,11004,221675
ZCTA5 26680,117,221669
ZCTA5 11577,4248,220878
ZCTA5 19425,5402,220795
ZCTA5 94556,5623,220772
ZCTA5 95032,9868,220673
ZCTA5 19312,4174,220631
ZCTA5 94306,10641,220341
ZCTA5 94087,19605,219732
ZCTA5 94960,6381,219696
ZCTA5 07920,9811,219603
ZCTA5 11968,4302,219113
ZCTA5 94005,2039,218803
ZCTA5 76034,9215,218767
ZCTA5 94114,17000,218715
ZCTA5 02534,369,218476
ZCTA5 97621,126,218456
ZCTA5 10005,4649,218441
ZCTA5 07946,1133,218397
ZCTA5 95014,21199,217920
ZCTA5 94539,16458,217764
ZCTA5 10014,17139,217624
ZCTA5 20838,100,217548
ZCTA5 10706,3215,217163
ZCTA5 94065,4780,217160
ZCTA5 08057,7215,216990
ZCTA5 95033,3777,216876
ZCTA5 01451,1486,216743
ZCTA5 02494,3633,216661
ZCTA5 21738,1249,216645
ZCTA5 98112,11846,216581
ZCTA5 07940,5755,216297
ZCTA5 40059,7830,216271
ZCTA5 06824,12173,216226
ZCTA5 94707,4843,216220
ZCTA5 02025,3231,215898
ZCTA5 92651,10455,215483
ZCTA5 07641,1084,215436
ZCTA5 11548,477,215279
ZCTA5 19096,5549,215252
ZCTA5 32963,7574,214993
ZCTA5 11721,2333,214951
ZCTA5 19373,850,214833
ZCTA5 21035,2847,214517
ZCTA5 20007,11969,214265
ZCTA5 95746,8019,214164
ZCTA5 10010,16499,214151
ZCTA5 45884,18,213772
ZCTA5 92694,8334,213409
ZCTA5 94526,12647,213334
ZCTA5 07041,2537,213215
ZCTA5 48301,5617,213167
ZCTA5 29451,1945,213164
ZCTA5 02116,12014,213098
ZCTA5 92660,15368,212933
ZCTA5 60305,4040,212776
ZCTA5 92662,1297,212677
ZCTA5 94107,14133,212666
ZCTA5 94552,5137,212614
ZCTA5 23436,387,212343
ZCTA5 06612,2702,212119
ZCTA5 94566,15685,212056
ZCTA5 83283,51,212027
ZCTA5 21036,794,211831
ZCTA5 06092,1585,211782
ZCTA5 10003,25158,211756
ZCTA5 67228,687,211624
ZCTA5 06524,1860,211576
ZCTA5 36559,92,211455
ZCTA5 10505,520,211354
ZCTA5 22180,8235,211152
ZCTA5 94037,1023,210671
ZCTA5 11733,5731,210615
ZCTA5 10011,28775,210553
ZCTA5 98050,173,210549
ZCTA5 11050,11103,210400
ZCTA5 11020,1848,210336
ZCTA5 98004,17460,210129
ZCTA5 60015,10011,210096
ZCTA5 94925,3823,209935
ZCTA5 22308,4580,209657
ZCTA5 94131,12888,209605
ZCTA5 34103,5828,209458
ZCTA5 90254,8596,209447
ZCTA5 48302,6014,209294
ZCTA5 44022,6876,209278
ZCTA5 02090,5374,209050
ZCTA5 11598,3902,209020
ZCTA5 19072,4121,209007
ZCTA5 92130,20464,208919
ZCTA5 18950,75,208867
ZCTA5 02467,6594,208834
ZCTA5 94158,4406,208466
ZCTA5 80425,64,208373
ZCTA5 03902,763,208335
ZCTA5 11739,436,208330
ZCTA5 07079,5201,208149
ZCTA5 02043,9121,208083
ZCTA5 45243,5633,207970
ZCTA5 60111,65,207602
ZCTA5 10528,4678,207418
ZCTA5 07733,5975,207324
ZCTA5 94705,5746,207284
ZCTA5 94582,15095,207249
ZCTA5 20839,30,206940
ZCTA5 48009,9099,206818
ZCTA5 94020,804,206700
ZCTA5 21131,2616,206568
ZCTA5 07930,2896,206563
ZCTA5 10128,29698,206466
ZCTA5 94117,17871,206422
ZCTA5 08540,18143,206413
ZCTA5 95303,354,206217
ZCTA5 08403,475,205944
ZCTA5 55331,7501,205792
ZCTA5 29915,228,205787
ZCTA5 07746,5808,205665
ZCTA5 98053,8572,205610
ZCTA5 06525,2935,205541
ZCTA5 08738,694,205039
ZCTA5 98164,126,204634
ZCTA5 77382,12531,204575
ZCTA5 01944,2128,204482
ZCTA5 20165,12040,204378
ZCTA5 52411,2985,204241
ZCTA5 89413,370,204001
ZCTA5 94002,10404,203958
ZCTA5 22213,1612,203917
ZCTA5 73025,4565,203871
ZCTA5 20861,725,203821
ZCTA5 08510,1898,203598
ZCTA5 02461,2536,203597
ZCTA5 94598,10327,203326
ZCTA5 07974,4511,203215
ZCTA5 77019,11510,203213
ZCTA5 78730,4453,203172
ZCTA5 37220,2368,203090
ZCTA5 22205,6696,203081
ZCTA5 91301,9116,202650
ZCTA5 60048,10415,202236
ZCTA5 08750,1358,201919
ZCTA5 20197,1024,201911
ZCTA5 93953,1710,201769
ZCTA5 07045,3549,201678
ZCTA5 49301,6647,201315
ZCTA5 06784,1605,200958
ZCTA5 11024,1953,200794
ZCTA5 38120,6427,200657
ZCTA5 33332,3395,200477
ZCTA5 89124,580,200458
ZCTA5 94939,3205,200429
ZCTA5 93424,526,200363
ZCTA5 55340,2984,200183
ZCTA5 20148,16956,200073
